Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
183,Udonis Haslem,C,36,MIA,17,130,8.4,.524,.130,.652,6.7,24.1,15.3,6.4,1.9,0.6,21.3,12.8,0.0,0.2,0.2,.069,-4.9,1.1,-3.7,-0.1
184,Spencer Hawes,PF,28,TOT,54,797,15.6,.562,.292,.188,5.3,21.5,13.4,16.5,0.9,3.3,14.0,19.8,0.7,1.0,1.7,.102,-1.2,0.8,-0.5,0.3
185,Gordon Hayward,SF,26,UTA,73,2516,22.2,.595,.324,.371,2.3,15.4,9.0,18.2,1.5,0.6,9.4,27.6,7.1,3.3,10.4,.199,4.2,0.0,4.2,4.0
186,Gerald Henderson,SG,29,PHI,72,1667,10.8,.529,.313,.298,2.2,10.0,6.1,10.5,1.2,0.7,9.0,17.9,1.0,1.0,2.1,.059,-1.8,-1.2,-3.1,-0.5
187,John Henson,C,26,MIL,58,1123,15.3,.550,.003,.346,9.6,20.8,15.3,7.7,1.3,6.1,13.0,16.6,1.1,1.6,2.7,.115,-2.6,2.5,-0.1,0.5
188,Juan Hernangomez,PF,21,DEN,62,842,13.3,.592,.504,.339,5.7,18.7,12.3,4.7,1.7,1.1,10.7,14.6,1.2,0.6,1.8,.103,-0.1,-1.2,-1.3,0.1
189,Willy Hernangomez,C,22,NYK,72,1324,18.9,.564,.032,.269,13.8,27.1,20.4,11.5,1.5,2.2,16.1,20.3,1.8,1.6,3.4,.123,-0.6,0.6,0.0,0.7
190,Mario Hezonja,SF,21,ORL,65,960,7.2,.450,.436,.152,2.2,14.7,8.3,9.6,1.5,1.2,14.1,18.8,-1.4,0.7,-0.7,-0.034,-4.8,-1.0,-5.8,-0.9
191,Roy Hibbert,C,30,TOT,48,682,13.6,.614,.000,.510,8.7,16.2,12.4,4.6,0.6,5.9,15.1,14.0,1.0,0.8,1.8,.130,-2.9,1.9,-1.1,0.2
192,Buddy Hield,SG,23,TOT,82,1888,11.8,.540,.493,.099,2.0,13.5,7.8,10.3,1.0,0.4,11.2,21.4,0.0,1.3,1.3,.032,-0.9,-1.9,-2.8,-0.4
193,Nene Hilario,C,34,HOU,67,1198,18.9,.630,.023,.496,8.6,16.9,12.8,8.6,2.2,2.7,13.1,19.7,2.5,1.6,4.1,.165,-0.4,0.9,0.5,0.8
194,George Hill,PG,30,UTA,49,1544,19.3,.599,.384,.323,1.8,10.5,6.2,22.6,1.7,0.6,10.9,23.5,4.0,1.9,5.9,.182,3.8,-0.3,3.6,2.2
195,Jordan Hill,C,29,MIN,7,47,5.5,.432,.000,.154,19.6,15.1,17.4,0.0,1.1,0.0,22.4,16.8,-0.1,0.0,0.0,-0.033,-6.7,-6.2,-12.9,-0.1
196,Solomon Hill,SF,25,NOP,80,2374,8.0,.528,.566,.268,2.3,11.4,6.8,8.1,1.5,1.1,13.3,11.5,0.4,2.3,2.7,.055,-1.8,1.5,-0.3,1.0
197,Darrun Hilliard,SG,23,DET,39,381,5.9,.459,.365,.222,0.6,9.2,4.7,12.3,1.5,0.4,16.8,19.3,-0.6,0.4,-0.2,-0.027,-5.0,-1.1,-6.1,-0.4
198,Jrue Holiday,PG,26,NOP,67,2190,17.1,.532,.314,.188,2.2,10.6,6.4,35.9,2.2,1.6,16.7,23.5,1.2,2.6,3.8,.084,1.2,0.5,1.7,2.0
199,Justin Holiday,SG,27,NYK,82,1639,12.7,.549,.507,.149,1.8,13.1,7.4,9.2,2.0,1.5,10.3,16.9,1.3,1.2,2.5,.073,-0.3,-0.8,-1.1,0.4
200,Rondae Hollis-Jefferson,SF,22,BRK,78,1761,13.7,.517,.124,.467,5.8,21.1,13.6,13.4,2.2,1.9,15.1,18.7,0.4,2.2,2.6,.070,-2.9,1.9,-1.0,0.4
201,Richaun Holmes,C,23,PHI,57,1193,18.6,.611,.187,.250,8.7,20.1,14.4,8.3,1.7,3.7,10.7,18.6,2.2,1.6,3.7,.151,0.2,1.5,1.7,1.1
202,Rodney Hood,SG,24,UTA,59,1593,12.4,.522,.461,.173,1.2,13.1,7.3,10.1,1.3,0.6,8.3,22.9,0.7,1.9,2.6,.078,-0.3,-0.9,-1.2,0.3
203,Al Horford,C,30,BOS,68,2193,17.7,.553,.302,.169,4.9,18.6,11.8,24.4,1.2,3.3,11.9,19.8,3.6,2.7,6.3,.137,1.0,2.1,3.1,2.8
204,Danuel House,SG,23,WAS,1,1,12.2,,,,0.0,100.0,56.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.163,-16.4,-4.4,-20.8,0.0
205,Dwight Howard,C,31,ATL,74,2199,20.8,.627,.003,.692,15.0,31.7,23.5,7.8,1.4,3.6,17.5,19.2,3.8,4.5,8.3,.181,-0.5,2.8,2.3,2.4
206,Marcelo Huertas,PG,33,LAL,23,237,9.1,.417,.279,.250,0.9,10.5,5.5,30.8,2.1,0.7,20.1,17.0,-0.2,0.1,-0.1,-0.025,-4.6,-2.4,-7.0,-0.3
207,Josh Huestis,PF,25,OKC,2,31,26.1,.612,.364,.091,14.3,17.9,16.1,15.5,0.0,7.7,0.0,15.7,0.1,0.0,0.2,.265,3.9,1.8,5.7,0.1
208,Kris Humphries,PF,31,ATL,56,689,13.6,.514,.252,.383,9.7,23.0,16.4,6.4,1.1,2.6,10.1,17.6,0.6,1.1,1.6,.115,-3.0,0.3,-2.7,-0.1
209,R.J. Hunter,SG,23,CHI,3,9,-3.2,.000,1.000,.000,0.0,12.1,6.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,-0.088,-9.4,-2.1,-11.4,0.0
210,Serge Ibaka,PF,27,TOT,79,2422,16.4,.566,.323,.127,5.7,19.0,12.2,5.2,0.8,4.2,9.2,20.9,2.5,2.6,5.1,.101,-0.5,0.1,-0.4,1.0
211,Andre Iguodala,SF,33,GSW,76,1998,14.4,.624,.427,.246,3.0,13.1,8.3,16.7,1.8,1.5,11.2,11.2,4.1,2.9,6.9,.167,1.3,1.7,3.0,2.5
212,Ersan Ilyasova,PF,29,TOT,82,2142,14.6,.546,.452,.233,5.9,18.8,12.4,11.0,1.3,0.9,10.6,22.2,1.8,2.3,4.1,.091,0.3,-0.8,-0.5,0.8
213,Joe Ingles,SF,29,UTA,82,1972,12.4,.604,.619,.151,1.4,13.5,7.6,17.1,2.6,0.3,18.2,13.9,2.0,3.0,5.0,.122,0.9,1.8,2.7,2.3
214,Brandon Ingram,SF,19,LAL,79,2279,8.5,.474,.273,.312,2.8,12.8,7.6,10.5,1.1,1.3,12.9,16.8,-1.0,0.7,-0.3,-0.007,-3.1,-0.7,-3.8,-1.1
215,Kyrie Irving,PG,24,CLE,72,2525,23.0,.580,.311,.231,2.3,7.5,5.0,29.7,1.6,0.8,10.3,30.8,7.4,1.5,8.9,.170,4.8,-2.3,2.5,2.9
216,Jarrett Jack,PG,33,NOP,2,33,7.7,.773,.333,.667,0.0,0.0,0.0,20.3,3.0,0.0,43.6,9.2,0.0,0.0,0.0,.060,-5.3,-4.1,-9.3,-0.1
217,Demetrius Jackson,PG,22,BOS,5,17,30.8,.753,.250,1.500,13.2,13.0,13.1,28.2,0.0,0.0,0.0,17.3,0.1,0.0,0.1,.386,9.2,-2.8,6.4,0.0
218,Pierre Jackson,PG,25,DAL,8,84,13.0,.416,.282,.179,1.3,11.6,6.2,38.0,1.2,0.0,6.7,25.3,0.0,0.1,0.0,.021,-1.7,-2.8,-4.4,-0.1
219,Reggie Jackson,PG,26,DET,52,1424,14.9,.510,.272,.201,1.6,7.3,4.3,30.3,1.2,0.3,13.4,26.4,0.8,1.2,1.9,.065,0.6,-2.1,-1.4,0.2
220,LeBron James,SF,32,CLE,74,2794,27.0,.619,.254,.395,4.0,20.7,12.6,41.3,1.6,1.3,16.1,30.0,9.8,3.0,12.9,.221,6.8,1.6,8.4,7.3
221,Al Jefferson,C,32,IND,66,931,18.9,.526,.002,.180,9.2,24.2,16.8,11.0,1.0,1.5,6.1,26.1,1.2,1.1,2.3,.119,-1.5,-1.5,-3.1,-0.3
222,Richard Jefferson,SF,36,CLE,79,1614,8.2,.574,.542,.315,2.0,11.5,6.9,6.6,0.8,0.5,11.8,12.2,1.3,0.8,2.1,.063,-1.3,-1.0,-2.4,-0.1
223,John Jenkins,SG,25,PHO,4,13,17.3,.595,.400,.400,0.0,8.6,4.2,11.5,0.0,0.0,0.0,18.9,0.0,0.0,0.0,.167,1.4,-5.5,-4.1,0.0
224,Brandon Jennings,PG,27,TOT,81,1802,12.1,.479,.471,.284,1.8,10.1,5.9,30.4,1.9,0.2,17.5,17.6,0.7,1.0,1.7,.046,-0.8,-2.2,-3.0,-0.4
225,Jonas Jerebko,PF,29,BOS,78,1232,9.3,.537,.496,.141,5.5,19.1,12.3,8.1,1.0,1.1,12.3,11.4,0.8,1.3,2.1,.081,-2.4,0.3,-2.1,0.0
226,Amir Johnson,PF,29,BOS,80,1608,15.0,.628,.178,.270,8.2,17.0,12.6,13.0,1.6,3.2,15.7,13.6,2.9,2.1,5.0,.149,-0.2,2.4,2.2,1.7
227,Brice Johnson,PF,22,LAC,3,9,17.2,.286,.000,.000,12.8,24.2,18.6,18.6,11.1,9.1,12.5,39.8,-0.1,0.0,0.0,-0.164,-10.7,12.0,1.3,0.0
228,James Johnson,PF,29,MIA,76,2085,17.0,.564,.333,.280,3.5,16.6,9.9,20.9,1.8,3.2,16.5,22.0,1.9,3.2,5.1,.117,0.5,2.2,2.7,2.5
229,Joe Johnson,SF,35,UTA,78,1843,12.8,.542,.412,.123,2.1,12.7,7.6,12.6,1.0,0.8,9.5,18.5,1.7,2.1,3.8,.099,-0.1,-0.1,-0.2,0.8
230,Stanley Johnson,SF,20,DET,77,1371,7.2,.436,.422,.145,2.8,12.7,7.5,10.5,2.1,1.5,15.5,14.8,-1.4,1.8,0.4,.012,-3.8,1.8,-2.0,0.0
231,Tyler Johnson,PG,24,MIA,73,2178,15.9,.535,.303,.308,2.5,12.5,7.4,16.6,1.9,1.6,8.8,20.9,3.1,2.7,5.8,.128,0.7,0.7,1.5,1.9
232,Wesley Johnson,SF,29,LAC,68,810,8.4,.448,.590,.085,3.7,20.8,12.5,3.9,1.8,3.0,8.0,12.5,-0.3,1.2,0.9,.051,-3.4,1.6,-1.8,0.0
233,Nikola Jokic,C,21,DEN,73,2038,26.4,.640,.163,.267,11.6,27.2,19.5,28.8,1.5,2.1,15.2,23.5,7.7,2.0,9.7,.229,6.2,2.2,8.3,5.3
234,Dahntay Jones,SF,36,CLE,1,12,14.7,.461,.250,.500,9.5,8.9,9.2,14.5,0.0,0.0,9.3,39.9,0.0,0.0,0.0,-0.030,-3.8,-7.1,-10.9,0.0
235,Damian Jones,C,21,GSW,10,85,5.3,.466,.000,.625,12.4,17.0,14.8,0.0,0.6,3.7,22.7,13.4,-0.1,0.1,0.0,.018,-7.5,-2.1,-9.6,-0.2
236,Derrick Jones,SF,19,PHO,32,545,12.0,.604,.091,.339,7.6,8.2,7.9,3.1,1.2,1.9,8.6,11.7,0.9,0.2,1.1,.098,-0.5,-0.5,-1.1,0.1
237,James Jones,SF,36,CLE,48,381,11.3,.655,.717,.217,0.9,9.8,5.5,5.2,0.9,2.1,9.0,13.0,0.6,0.2,0.8,.104,0.0,-1.5,-1.5,0.0
238,Terrence Jones,PF,25,TOT,54,1270,16.1,.516,.153,.346,5.4,20.2,12.7,7.3,1.5,3.5,7.8,21.4,0.4,1.9,2.3,.087,-2.7,1.3,-1.4,0.2
239,Tyus Jones,PG,20,MIN,60,774,13.8,.523,.403,.238,1.5,8.7,5.0,28.0,3.1,0.6,16.0,13.6,1.0,0.6,1.5,.095,-0.4,-1.5,-1.9,0.0
240,DeAndre Jordan,C,28,LAC,81,2570,21.8,.673,.003,.737,13.3,34.6,24.2,5.7,1.0,4.3,13.2,15.3,7.2,4.6,11.8,.220,1.0,3.0,4.0,3.9
241,Cory Joseph,SG,25,TOR,80,2003,13.2,.518,.204,.185,2.9,10.4,6.6,20.0,1.7,0.6,13.1,18.4,1.7,1.7,3.4,.082,-0.4,-0.4,-0.8,0.6
242,Frank Kaminsky,C,23,CHO,75,1954,13.0,.502,.441,.195,3.2,15.8,9.5,13.5,1.2,1.5,8.0,21.8,0.4,1.9,2.3,.056,-0.8,-0.7,-1.5,0.2
243,Enes Kanter,C,24,OKC,72,1533,23.7,.599,.052,.387,14.1,20.8,17.4,7.9,1.0,2.0,12.5,27.3,4.0,1.8,5.8,.183,0.6,-1.9,-1.2,0.3
244,Ryan Kelly,PF,25,ATL,16,110,7.8,.408,.357,.214,1.0,16.7,9.0,10.2,1.8,3.9,11.5,13.7,-0.1,0.2,0.1,.029,-6.2,2.3,-3.9,-0.1
245,Michael Kidd-Gilchrist,SF,23,CHO,81,2349,14.3,.528,.015,.314,7.3,19.3,13.2,7.4,1.7,2.9,7.4,14.6,2.7,3.1,5.8,.119,-2.0,2.2,0.2,1.3
246,Sean Kilpatrick,SG,27,BRK,70,1754,13.1,.546,.419,.329,1.3,15.4,8.4,14.6,1.2,0.3,13.9,23.9,0.3,1.1,1.4,.039,-1.2,-1.8,-3.0,-0.4
247,Brandon Knight,SG,25,PHO,54,1140,12.3,.502,.265,.293,2.3,9.1,5.6,17.8,1.1,0.4,13.1,25.0,0.1,0.2,0.3,.013,-1.5,-3.0,-4.5,-0.7
248,Kyle Korver,SG,35,TOT,67,1753,12.1,.635,.697,.082,0.5,11.0,5.9,9.4,1.0,1.0,11.5,15.2,2.3,1.3,3.7,.101,0.8,-1.0,-0.2,0.8
249,Kosta Koufos,C,27,SAC,71,1419,13.8,.560,.003,.158,9.7,22.9,16.4,5.3,1.3,3.1,12.7,15.3,1.2,1.4,2.6,.089,-2.6,0.7,-1.9,0.0
250,Mindaugas Kuzminskas,SF,27,NYK,68,1016,12.4,.533,.455,.184,5.0,8.4,6.7,10.3,1.4,0.9,11.3,19.2,0.8,0.4,1.2,.055,-0.2,-2.5,-2.7,-0.2
251,Skal Labissiere,PF,20,SAC,33,612,16.8,.577,.037,.339,9.7,20.7,15.3,7.5,1.3,1.9,12.9,21.3,0.7,0.5,1.3,.099,-1.7,-0.9,-2.6,-0.1
252,Jeremy Lamb,SG,24,CHO,62,1143,17.0,.550,.297,.263,2.9,22.7,12.7,11.3,1.2,1.8,6.8,23.2,1.4,1.3,2.7,.115,-0.8,-0.8,-1.7,0.1
253,Nicolas Laprovittola,PG,27,SAS,18,174,8.4,.579,.574,.191,0.7,5.7,3.3,23.0,1.2,0.5,27.2,18.2,0.0,0.2,0.2,.044,-2.5,-2.4,-4.9,-0.1
254,Joffrey Lauvergne,PF-C,25,TOT,70,980,12.6,.509,.292,.217,8.0,20.1,14.1,10.8,1.3,0.5,13.2,18.5,0.4,1.1,1.5,.075,-2.3,-0.9,-3.2,-0.3
255,Zach LaVine,SG,21,MIN,47,1749,14.6,.576,.437,.197,1.2,9.5,5.3,12.6,1.2,0.5,9.9,21.7,2.5,0.4,3.0,.082,2.1,-2.4,-0.3,0.8
256,Ty Lawson,PG,29,SAC,69,1732,15.4,.551,.226,.416,3.0,8.9,6.0,30.0,2.2,0.3,17.3,19.5,2.2,1.0,3.2,.088,0.2,-1.5,-1.3,0.3
257,Jake Layman,SF,22,POR,35,249,4.9,.404,.573,.191,2.7,8.0,5.3,6.2,1.8,1.0,10.2,19.0,-0.4,0.1,-0.3,-0.054,-4.7,-2.7,-7.4,-0.3
258,Courtney Lee,SG,31,NYK,77,2459,12.1,.559,.382,.139,2.3,9.1,5.7,10.6,1.6,0.8,8.5,14.4,3.1,1.1,4.2,.081,0.5,-0.7,-0.2,1.1
259,David Lee,PF,33,SAS,79,1477,18.4,.613,.000,.269,11.6,21.9,16.9,13.0,1.1,2.2,14.9,16.9,3.2,2.5,5.7,.186,0.7,2.5,3.2,1.9
260,Alex Len,C,23,PHO,77,1560,15.0,.553,.026,.449,10.6,25.3,17.8,4.2,1.1,5.1,15.5,17.6,1.2,1.7,3.0,.091,-3.0,1.2,-1.8,0.1
261,Kawhi Leonard,SF,25,SAS,74,2474,27.5,.611,.294,.407,3.7,15.7,9.8,18.9,2.7,1.8,9.1,31.1,8.9,4.7,13.6,.264,6.4,1.5,7.9,6.2
262,Meyers Leonard,PF,24,POR,74,1222,8.9,.507,.563,.106,2.4,19.0,10.7,8.4,0.5,1.8,8.1,15.5,0.5,0.8,1.4,.053,-2.1,-1.3,-3.4,-0.4
263,Jon Leuer,PF,27,DET,75,1944,14.2,.551,.259,.175,5.5,17.5,11.3,8.6,0.8,1.1,8.7,17.3,2.5,2.0,4.5,.112,-0.4,0.5,0.2,1.1
264,Caris LeVert,SF,22,BRK,57,1237,12.2,.556,.484,.245,2.0,13.9,8.0,13.7,1.9,0.5,12.3,16.6,0.8,1.0,1.8,.070,-0.7,-0.4,-1.1,0.3
265,DeAndre Liggins,SG,28,TOT,62,777,7.5,.476,.324,.282,2.9,12.2,7.7,9.2,3.0,1.5,20.8,11.6,-0.4,0.9,0.5,.031,-3.9,1.8,-2.1,0.0
266,Damian Lillard,PG,26,POR,75,2694,24.1,.586,.388,.366,1.9,13.3,7.6,28.7,1.3,0.6,10.2,31.5,8.8,1.5,10.3,.184,6.4,-2.0,4.3,4.3
267,Jeremy Lin,PG,28,BRK,36,883,19.2,.566,.390,.353,1.3,14.7,8.1,35.5,2.2,1.2,15.7,26.6,1.3,0.8,2.1,.115,2.5,-0.5,2.0,0.9
268,Shaun Livingston,PG,31,GSW,76,1345,10.1,.568,.009,.190,2.4,9.4,6.2,13.5,1.4,1.2,15.1,12.9,1.1,1.6,2.6,.094,-2.5,0.5,-2.0,0.0
269,Shawn Long,C,24,PHI,18,234,24.1,.595,.174,.321,19.3,20.8,20.0,10.7,1.9,3.1,9.5,25.4,0.6,0.3,0.9,.195,3.4,0.0,3.4,0.3
270,Kevon Looney,C,20,GSW,53,447,13.4,.553,.084,.318,11.5,18.5,15.2,8.5,1.5,3.0,12.2,13.4,0.7,0.8,1.4,.154,-1.4,1.7,0.3,0.3
271,Brook Lopez,C,28,BRK,75,2222,20.4,.578,.330,.311,5.8,13.3,9.6,14.8,0.8,4.2,12.1,29.2,3.1,1.8,4.9,.105,1.9,-0.4,1.5,2.0
272,Robin Lopez,C,28,CHI,81,2271,14.4,.511,.003,.134,11.4,13.2,12.3,5.6,0.4,4.1,9.9,17.5,1.8,2.4,4.3,.090,-1.9,1.0,-0.9,0.6
273,Kevin Love,PF,28,CLE,60,1885,21.1,.573,.449,.340,8.9,29.3,19.5,9.8,1.4,0.9,10.9,26.4,4.0,2.4,6.4,.163,1.7,-0.9,0.8,1.3
274,Kyle Lowry,PG,30,TOR,60,2244,22.9,.623,.510,.398,2.4,12.1,7.3,29.9,2.0,0.7,13.8,24.9,7.8,2.3,10.1,.216,7.1,-0.4,6.7,4.9
275,John Lucas III,PG,34,MIN,5,11,9.1,.250,.250,.000,0.0,0.0,0.0,12.5,9.2,0.0,0.0,16.1,0.0,0.0,0.0,-0.033,-6.0,0.4,-5.6,0.0
276,Timothe Luwawu-Cabarrot,SF,21,PHI,69,1190,8.5,.536,.446,.341,2.3,11.5,6.9,9.6,1.3,0.7,15.0,17.8,0.0,0.8,0.8,.034,-2.8,-1.2,-4.0,-0.6
277,Trey Lyles,PF,21,UTA,71,1158,10.0,.464,.465,.180,4.9,18.1,11.7,9.6,1.2,1.4,11.9,21.7,-0.9,1.6,0.8,.032,-2.9,-0.1,-3.0,-0.3
278,Shelvin Mack,PG,26,UTA,55,1205,10.9,.518,.315,.202,2.0,10.1,6.1,20.4,1.8,0.2,17.8,19.6,-0.1,1.5,1.4,.054,-1.7,-0.1,-1.8,0.1
279,Ian Mahinmi,C,30,WAS,31,555,14.1,.601,.000,.676,9.6,20.8,15.2,4.7,2.9,3.6,19.1,14.0,0.5,0.9,1.4,.123,-2.1,2.9,0.8,0.4
280,Thon Maker,C,19,MIL,57,562,14.0,.558,.409,.271,8.4,15.2,11.8,6.2,0.9,4.1,7.7,17.8,0.8,0.5,1.3,.113,-0.5,-1.0,-1.5,0.1
281,Boban Marjanovic,C,28,DET,35,293,29.6,.606,.000,.439,16.5,32.5,24.2,5.3,1.0,3.4,6.0,25.3,1.2,0.5,1.7,.280,1.0,-0.9,0.1,0.2
282,Jarell Martin,PF,22,MEM,42,558,8.7,.477,.166,.331,8.4,25.3,16.6,2.2,1.6,1.5,13.9,16.4,-0.2,0.8,0.6,.054,-5.8,-0.6,-6.4,-0.6
283,Wesley Matthews,SG,30,DAL,73,2495,11.9,.533,.566,.211,0.8,11.8,6.0,13.6,1.6,0.6,9.9,19.4,1.0,2.1,3.1,.060,0.2,-0.1,0.1,1.3
284,Luc Mbah a Moute,SF,30,LAC,80,1787,10.3,.581,.291,.230,3.0,7.7,5.4,3.1,2.3,1.6,10.1,11.6,1.3,1.8,3.1,.084,-0.8,1.5,0.7,1.2
285,James Michael McAdoo,PF,24,GSW,52,457,13.0,.543,.068,.359,8.7,12.6,10.8,4.9,1.9,5.0,12.3,14.6,0.3,0.8,1.1,.115,-2.8,2.3,-0.5,0.2
286,Patrick McCaw,SG,21,GSW,71,1074,8.6,.540,.502,.151,2.4,7.6,5.2,9.0,1.4,1.1,12.1,11.9,0.6,1.2,1.7,.077,-1.6,-0.1,-1.7,0.1
287,Sheldon McClellan,SG,24,WAS,30,287,10.1,.518,.400,.360,1.6,11.7,6.7,7.0,1.4,0.6,5.4,14.0,0.3,0.2,0.5,.076,-2.1,-1.5,-3.6,-0.1
288,C.J. McCollum,SG,25,POR,80,2796,19.9,.585,.305,.204,2.4,9.2,5.8,18.0,1.3,1.2,9.9,27.5,6.2,1.4,7.6,.131,3.3,-2.2,1.0,2.1
289,T.J. McConnell,PG,24,PHI,81,2133,13.7,.504,.107,.176,2.0,11.0,6.5,37.5,3.1,0.4,22.4,14.4,1.4,2.4,3.8,.084,-2.0,0.1,-1.9,0.0
290,Chris McCullough,PF,21,TOT,16,80,15.2,.526,.219,.156,12.1,13.3,12.7,4.4,1.2,1.9,8.1,19.9,0.1,0.1,0.1,.072,-2.0,-2.6,-4.6,-0.1
291,K.J. McDaniels,SF,23,TOT,49,505,11.5,.555,.391,.225,3.2,14.1,8.7,4.0,1.8,2.8,13.5,18.1,0.0,0.5,0.5,.051,-3.5,-0.6,-4.1,-0.3
292,Doug McDermott,SF,25,TOT,66,1508,10.7,.554,.416,.169,1.4,11.5,6.4,5.9,0.4,0.3,6.6,16.4,1.6,1.0,2.6,.083,-1.2,-2.3,-3.5,-0.6
293,JaVale McGee,C,29,GSW,77,739,25.2,.642,.013,.348,15.8,20.1,18.1,3.8,1.2,7.1,9.8,23.8,2.0,1.5,3.5,.225,0.2,0.6,0.8,0.5
294,Rodney McGruder,SG,25,MIA,78,1966,9.1,.506,.478,.154,5.3,9.2,7.2,8.8,1.2,0.7,10.2,12.3,1.2,1.7,2.9,.072,-0.8,0.5,-0.4,0.8
295,Ben McLemore,SG,23,SAC,61,1176,9.8,.538,.406,.222,1.9,10.8,6.4,6.9,1.2,0.5,11.9,20.1,-0.1,0.5,0.4,.015,-2.1,-2.7,-4.8,-0.8
296,Jordan McRae,SG,25,CLE,37,384,9.7,.488,.340,.227,1.8,9.5,5.7,7.4,1.0,1.3,7.8,20.8,-0.1,0.2,0.2,.020,-3.7,-2.8,-6.5,-0.4
297,Josh McRoberts,PF,29,MIA,22,381,9.8,.439,.263,.076,6.6,15.0,10.7,18.9,1.3,0.8,15.9,16.9,-0.1,0.4,0.3,.036,-2.9,0.5,-2.4,0.0
298,Jodie Meeks,SG,29,ORL,36,738,13.1,.567,.535,.289,0.7,10.9,5.7,9.3,2.3,0.4,11.1,19.4,0.5,0.6,1.1,.073,-0.4,-1.4,-1.8,0.0
299,Salah Mejri,C,30,DAL,73,905,14.8,.650,.022,.445,11.9,28.4,19.8,2.4,1.8,6.1,19.6,10.6,1.3,1.7,3.0,.159,-3.6,3.8,0.2,0.5
300,Jordan Mickey,PF,22,BOS,25,141,9.8,.473,.029,.412,10.4,16.4,13.4,7.1,1.1,3.5,18.3,15.5,-0.1,0.2,0.1,.036,-5.7,0.9,-4.8,-0.1
301,Khris Middleton,SF,25,MIL,29,889,15.0,.570,.312,.276,1.5,14.5,8.1,17.5,2.3,0.7,14.8,22.5,0.7,0.9,1.6,.085,0.0,-0.6,-0.5,0.3
302,C.J. Miles,SF,29,IND,76,1776,13.7,.592,.632,.144,1.9,12.4,7.2,4.1,1.3,1.2,5.5,18.4,2.7,1.4,4.0,.109,1.5,-2.1,-0.5,0.7
303,Mike Miller,SF,36,DEN,20,151,7.8,.586,.870,.087,2.2,26.1,14.3,18.3,0.6,0.0,35.2,10.4,0.0,0.1,0.1,.021,-3.0,-0.8,-3.8,-0.1
304,Patty Mills,PG,28,SAS,80,1754,15.2,.577,.572,.129,1.6,7.4,4.6,24.3,1.9,0.1,13.3,19.5,2.8,2.2,5.1,.139,2.5,-1.2,1.3,1.5
305,Elijah Millsap,SG,29,PHO,2,23,-3.4,.190,.286,.286,13.8,14.6,14.2,5.6,0.0,0.0,20.2,18.0,-0.1,0.0,-0.1,-0.233,-9.9,-3.3,-13.2,-0.1
306,Paul Millsap,PF,31,ATL,69,2343,17.8,.542,.248,.417,5.3,19.5,12.5,17.9,1.9,2.3,12.1,24.4,2.6,3.8,6.4,.132,0.5,2.1,2.7,2.7
307,Nikola Mirotic,PF,25,CHI,70,1679,14.5,.546,.603,.205,3.9,20.9,12.3,6.9,1.6,2.7,10.4,19.8,1.3,2.5,3.8,.108,0.0,0.5,0.4,1.0
308,Greg Monroe,C,26,MIL,81,1823,21.1,.572,.006,.329,10.8,23.1,17.0,17.3,2.6,1.8,14.4,24.3,3.0,2.6,5.6,.147,0.5,1.5,2.0,1.9
309,E'Twaun Moore,SG,27,NOP,73,1820,12.1,.537,.336,.120,1.9,6.9,4.4,13.8,1.3,1.4,8.7,17.4,1.2,1.5,2.7,.070,-0.8,-0.5,-1.3,0.3
310,Marcus Morris,SF,27,DET,79,2565,12.4,.508,.355,.184,3.2,12.8,7.8,9.4,1.0,0.8,7.4,20.3,1.4,2.4,3.9,.072,-0.3,-0.2,-0.5,1.0
311,Markieff Morris,PF,27,WAS,76,2374,13.7,.540,.220,.242,5.1,18.2,11.7,7.8,1.7,1.5,11.6,20.5,1.6,2.5,4.1,.083,-1.3,0.2,-1.0,0.6
312,Anthony Morrow,SG,31,TOT,49,714,10.0,.505,.528,.147,1.9,2.9,2.4,5.2,1.7,0.2,2.2,16.4,0.7,0.5,1.2,.083,-1.2,-3.1,-4.3,-0.4
313,Donatas Motiejunas,PF,26,NOP,34,479,9.2,.470,.341,.355,5.7,16.6,11.1,10.3,1.8,1.9,16.3,17.6,-0.4,0.6,0.2,.018,-4.1,1.2,-2.9,-0.1
314,Timofey Mozgov,C,30,LAL,54,1104,12.3,.553,.003,.238,9.9,16.4,13.1,5.9,0.7,2.3,16.6,16.8,0.7,0.4,1.1,.048,-2.8,-0.8,-3.6,-0.4
315,Emmanuel Mudiay,PG,20,DEN,55,1406,10.9,.483,.323,.303,2.3,11.6,7.0,21.8,1.4,0.7,16.5,22.6,-0.4,0.5,0.2,.006,-2.0,-1.8,-3.8,-0.6
316,Shabazz Muhammad,SF,24,MIN,78,1516,14.9,.566,.244,.318,6.4,10.6,8.5,3.7,0.7,0.3,7.6,21.5,2.5,0.2,2.7,.086,-0.2,-4.3,-4.4,-0.9
317,Dejounte Murray,PG,20,SAS,38,322,9.6,.503,.198,.259,2.2,12.4,7.4,22.6,1.3,1.5,22.7,23.5,-0.4,0.5,0.0,.004,-4.6,-0.2,-4.8,-0.2
